"Current Assigned Rank","Preference","Start Date","Duration","Grade","Region","Sub-Region","Area(Sector)","Dual Training Programme","Places Available","Description","Programme Name","Programme Number","Tags"
"X","East Midlands - North - ACCS 1","04/08/2021 00:00:00","36","Core Training Year 1","Health Education England East Midlands","Health Education England East Midlands - North","-","","1","East Midlands North ACCS Anaesthetics. Rotation M21. Aug 21 - Emer Med Lincoln County; Feb 22 - Acute Med Kings Mill; Aug 22 - Anaes Nottingham City; Feb 23 - ICM Nottingham City. All posts indicative, subject to change","","",""
"X","East Midlands - North - ACCS 2","04/08/2021 00:00:00","36","Core Training Year 1","Health Education England East Midlands","Health Education England East Midlands - North","-","","1","East Midlands North ACCS Anaesthetics. Rotation N21. Aug 21 - Acute Med Kings Mill; Feb 22 - Emer Med Derby; Aug 22 - Anaes Derby; Feb 23 - ICM Derby.  All posts indicative, subject to change","","",""
"X","East Midlands - North - ACCS 3","04/08/2021 00:00:00","36","Core Training Year 1","Health Education England East Midlands","Health Education England East Midlands - North","-","","1","East Midlands North ACCS Anaesthetics. Rotation P21. Aug 21 - Emer Med Kings Mill; Feb 22 - Acute Med Kings Mill; Aug 22 - Anaes QMC; Feb 23 - ICM QMC. All posts indicative, subject to change","","",""
"X","East Midlands - North - Core 1","04/08/2021 00:00:00","24","Core Training Year 1","Health Education England East Midlands","Health Education England East Midlands - North","-","","3","East Midlands North rotation commencing at Queens Medical Centre (6 months) - indicative, subject to change","","",""
"X","East Midlands - North - Core 2","04/08/2021 00:00:00","24","Core Training Year 1","Health Education England East Midlands","Health Education England East Midlands - North","-","","3","East Midlands North rotation commencing at Nottingham City Hospital (6 months) - indicative, subject to change","","",""
"X","East Midlands - North - Core 3","04/08/2021 00:00:00","24","Core Training Year 1","Health Education England East Midlands","Health Education England East Midlands - North","-","","2","East Midlands North rotation commencing at Kings Mill Hospital (6 months) - indicative, subject to change","","",""
"X","East Midlands - North - Core 4","04/08/2021 00:00:00","24","Core Training Year 1","Health Education England East Midlands","Health Education England East Midlands - North","-","","3","East Midlands North rotation commencing at Lincoln County Hospital (6 months) - indicative, subject to change","","",""
"X","East Midlands - North - Core 5","04/08/2021 00:00:00","24","Core Training Year 1","Health Education England East Midlands","Health Education England East Midlands - North","-","","2","East Midlands North rotation commencing at Chesterfield Royal Hospital (6 months) - indicative, subject to change","","",""
"X","East Midlands - North - Core 6","04/08/2021 00:00:00","24","Core Training Year 1","Health Education England East Midlands","Health Education England East Midlands - North","-","","2","East Midlands North rotation commencing at Queens Hospital, Burton (6 months) - indicative, subject to change","","",""
"X","East Midlands - South - ACCS 1","04/08/2021 00:00:00","36","Core Training Year 1","Health Education England East Midlands","Health Education England East Midlands - South","-","","1","East Midlands South ACCS Anaesthetics.  Rotation Anaes 1. Aug 21 - Emer Med Kettering General; Feb 22 - Acute Med Leicester Royal; Aug 22 - Anaes Leicester Royal; Feb 23 - ITU Leicester Royal. All posts indicative, subject to change","","",""
